"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q2",36.492314497401,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q3",89.57204467544,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q4",36.492314497401,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q1",119.49047458009,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q2",77.781535339871,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q3",9.0181490249126,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q4",-68.763386314959,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q1",50.749439395728,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q2",27.14504897911,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q3",59.010976041544,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q4",66.092293166529,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q1",-49.255569237658,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q2",-22.388895108026,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q3",-13.433337064816,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q4",-19.030560841822,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q1",28.490028490028,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q2",83.190883190883,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q3",60.39886039886,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q4",94.586894586895,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2021-Q1",78.051087984863,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2021-Q2",-186.84957426679,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2021-Q3",113.52885525071,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2021-Q4",2317.880794702,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2022-Q1",-262.90882322011,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2022-Q2",14.722894100326,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2022-Q3",245.03102324114,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2022-Q4",148.28057629614,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2023-Q1",-74.026392018024,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2005",2.090031759469,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2006",2.8245111699782,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2007",3.4177755709178,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2008",2.5745596612101,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2009",2.0218416528111,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2010",2.2869090277946,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2011",2.399743081699,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2012",2.2140855319659,
"WLD","FDIFLOW","INWARD","PC_GDP","A","2013",2.080982890541,
